SlideName	ScanLabel	ROILabel	SegmentLabel	SegmentDisplayName	CD10+	PanCK+	QCFlags	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	AlignedReads	DeduplicatedReads	TrimmedReads	StitchedReads	SequencingSaturation	SequencingSetID	UMIQ30	RTSQ30	GeoMxNgsPipelineVersion	LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA	LOT_Dev_Commercial_Human_WTA	Type	ROIID	SegmentID	ScanWidth	ScanHeight	ScanOffsetX	ScanOffsetY	LOQ (Human NGS Whole Transcriptome Atlas RNA)	LOQ (Dev Commercial Human WTA)
hu_kidney_001	052858A2 kidney	001	Geometric Segment	052858A2 kidney | 001 | Geometric Segment	False	False		21757.35878	132	26851	28361	2913034	2728549	75643	2894261	2860466	97.22772067		0.9908	0.9901	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	6c8d54b7-3109-48ab-a186-5fe60f01f3b8	520e6899-0bf8-40c6-98bc-558cfa2d91f5	27998.55664	50030.67969	2384	7752	4.760734743	4.760734743
hu_kidney_001	052858A2 kidney	002	Geometric Segment	052858A2 kidney | 002 | Geometric Segment	False	False		25277.57605	135	24346	17722	6060239	5715942	149148	6034147	5984652	97.39066632		0.991	0.9904	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	e5c89a58-4c96-4a0f-8922-c65985b3b82c	a8fcffed-546c-4b60-86a9-51e9e1561387	27998.55664	50030.67969	2384	7752	10.75419924	10.75419924
hu_kidney_001	052858A2 kidney	003	Geometric Segment	052858A2 kidney | 003 | Geometric Segment	False	False		27699.71757	122	26084	23659	7060894	6663495	145689	7026357	6971492	97.81362483		0.9906	0.99	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	b0cfb015-c4f1-4769-910d-4829afaf0346	c74a7877-1bfa-4c46-af53-26c24975d4a8	27998.55664	50030.67969	2384	7752	9.167774391	9.167774391
hu_kidney_001	052858A2 kidney	004	Geometric Segment	052858A2 kidney | 004 | Geometric Segment	False	False		24616.49939	141	26243	37434	3414874	3223822	74456	3398169	3369566	97.69044321		0.9907	0.9902	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	325fa7c9-d6ee-4a25-9d27-b5856ae9ed3e	c4ef5188-78b4-4490-b1a9-ea44a7dbf6b4	27998.55664	50030.67969	2384	7752	4.55924078	4.55924078
hu_kidney_001	052858A2 kidney	005	Geometric Segment	052858A2 kidney | 005 | Geometric Segment	False	False		21635.75765	138	26129	34193	6966084	6464380	140342	6836890	6771791	97.8289952		0.9906	0.9898	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	9b5b9a98-e0ce-4b42-a53a-753b486f6816	47d67491-3976-4240-bb82-5ef8c2717227	27998.55664	50030.67969	2384	7752	9.334541518	9.334541518
hu_kidney_001	052858A2 kidney	006	Geometric Segment	052858A2 kidney | 006 | Geometric Segment	False	False		36361.60676	176	24503	45405	5619771	5310557	123462	5592603	5544574	97.67515912		0.9907	0.9903	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical glomerulus	e32cd85a-6fa8-4837-9200-af41ee6b96ad	84382569-4484-4f30-b4be-598eb7846cff	27998.55664	50030.67969	2384	7752	8.168141889	8.168141889
hu_kidney_001	052858A2 kidney	007	CD10+	052858A2 kidney | 007 | CD10+	False	False		26708.74007	104	22603	45408	8560356	8003853	152517	8522354	8451228	98.09445526		0.9909	0.9906	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical filtration membrane	29167560-18a9-4973-b9c1-8515ca2f8399	86a9aa88-ffd1-4fad-8ab8-51c493eca11d	27998.55664	50030.67969	2384	7752	11.51231895	11.51231895
hu_kidney_001	052858A2 kidney	008	CD10+	052858A2 kidney | 008 | CD10+	False	False		32147.96024	153	24392	40299	6100336	5571775	118389	6068437	6017899	97.87520135		0.9907	0.9898	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical filtration membrane	a4998a76-80a7-4210-8041-df8cc7b47f76	15380dd6-a602-4a6b-9805-2192a79b9290	27998.55664	50030.67969	2384	7752	9.011658261	9.011658261
hu_kidney_001	052858A2 kidney	009	CD10+	052858A2 kidney | 009 | CD10+	False	False		32247.24924	157	25466	30717	6599661	6160861	137847	6568344	6513592	97.76253676		0.9904	0.99	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical filtration membrane	1b5b21b4-7216-4e5f-92cd-a311d7b266c7	a8a85f50-cf51-4cb6-88de-0f0d94223d6d	27998.55664	50030.67969	2384	7752	8.893345414	8.893345414
hu_kidney_001	052858A2 kidney	010	CD10+	052858A2 kidney | 010 | CD10+	False	False		30604.43868	187	24720	28815	11720639	10819707	250950	11412460	11309628	97.68062111		0.991	0.99	"""GeoMx_NGS_Pipeline_ 2.0.0"""		NA	Cortical filtration membrane	c05dd514-685c-4d88-be77-5f2aa85eec9e	66fdb991-c686-4480-a7af-a106f6120893	27998.55664	50030.67969	2384	7752	14.87330628	14.87330628
